system:index,B11,B2,B3,B4,B8,NDMI,NDVI,NDWI,SAVI,.geo
000000000000000008a4_0,0.08035,0.0316,0.04975,0.04585,0.3206,0.5992019,0.7497612,-0.7313352,0.4756477587364689,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-84.5646609853952,10.965240599840733]}"
000000000000000008a5_0,0.0769,0.03,0.05035,0.049,0.295,0.58644795,0.71511626,-0.70841175,0.43720377789817094,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-84.56115755578712,10.965330431369145]}"
000000000000000008a6_0,0.1053,0.0263,0.04825,0.0532,0.2526,0.41156748,0.6520602,-0.67924213,0.37118393875278893,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-84.56681694207707,10.968294871806739]}"
000000000000000008a7_0,0.10055,0.02605,0.04755,0.04675,0.2964,0.49338707,0.7275244,-0.72350633,0.44413806327269956,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-84.54031664119555,11.003868157057873]}"
000000000000000008a8_0,0.15785,0.0321,0.0553,0.04165,0.2677,0.2581365,0.7307257,-0.65758514,0.4189472833464498,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-84.53816068451366,11.002700347188517]}"
000000000000000008a9_0,0.0784,0.02275,0.0401,0.0381,0.2804,0.56298774,0.7607535,-0.749766,0.4440439920505356,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-84.53968782049667,11.006383439853407]}"
000000000000000008aa_0,0.13755,0.04985,0.0783,0.07075,0.3054,0.3789367,0.6238203,-0.59186864,0.4017291775599996,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-84.53744203228636,11.001173211205513]}"
000000000000000008ab_0,0.1638,0.0614,0.0924,0.0781,0.3388,0.34818944,0.6253298,-0.5714286,0.42649144690183227,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-84.53402843420672,10.998208770767919]}"
000000000000000008b5_0,0.07415,0.03565,0.059,0.0493,0.3523,0.6522453,0.7544821,-0.7131048,0.5041038023232028,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-84.57175767613973,10.85232236862691]}"
000000000000000008b6_0,0.1866,0.054,0.0743,0.0709,0.3036,0.23867811,0.62136185,-0.6067743,0.39914238238210775,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-84.57391363282161,10.844417194126658]}"
000000000000000008b7_0,0.08105,0.0388,0.0607,0.0403,0.3646,0.63626164,0.8009385,-0.7145544,0.5375732144177091,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-84.57436279046368,10.843968036484597]}"
000000000000000008b8_0,0.1399,0.0415,0.07255,0.09545,0.1588,0.06327421,0.24916422,-0.3728118,0.12598609186768814,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-84.58316628024805,10.866066592473938]}"
000000000000000008b9_0,0.1737,0.11575,0.1352,0.13615,0.3554,0.34341332,0.44603804,-0.44883817,0.33167766712150865,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-84.60346820566915,10.836961177268465]}"
000000000000000008ba_0,0.10285,0.22295,0.2105,0.1823,0.3783,0.5724826,0.3496254,-0.28498644,0.2772015945562965,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-84.59439522129955,10.843698541899363]}"
000000000000000008bb_0,0.3202,0.4789,0.47665,0.47525,0.5699,0.28053027,0.09056114,-0.08910227,0.09188425554370651,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-84.59295791684495,10.836871345740054]}"
000000000000000008bc_0,0.12365,0.06595,0.0774,0.0722,0.2714,0.3740033,0.5797439,-0.5561927,0.3541963072181359,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-84.587298530555,10.831122127921688]}"
000000000000000008bd_0,0.11715,0.07025,0.08195,0.07775,0.3816,0.5302256,0.66147816,-0.6464243,0.47508729609321326,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-84.59421555824272,10.828157687484094]}"
000000000000000008be_0,0.08885,0.04005,0.06195,0.05635,0.3385,0.5841816,0.7145752,-0.6905981,0.47295635301899386,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-84.60283938497027,10.820252512983842]}"
000000000000000008bf_0,0.05365,0.03865,0.04555,0.03965,0.3285,0.7192202,0.78459865,-0.7564497,0.4990785018280076,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-84.59879696619173,10.821779648966846]}"
