system:index,B11,B2,B3,B4,B8,NDMI,NDVI,NDWI,SAVI,.geo
00000000000000000441_0,0.17695,0.04155,0.0742,0.03775,0.3586,0.33918402,0.8095118,-0.6571165,0.5369275333007126,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-83.6380487698259,10.868042886099001]}"
00000000000000000442_0,0.2923,0.0448,0.0725,0.0701,0.2618,-0.055044208,0.5775836,-0.56625783,0.3456545090606951,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-83.70003252443014,9.267245049798014]}"
00000000000000000443_0,0.10855,0.0079,0.02135,0.0119,0.23015,0.3590198,0.9016732,-0.8302187,0.44117646881637584,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-83.02180448491991,9.101955037520021]}"
00000000000000000444_0,0.1506,0.0593,0.0733,0.0365,0.3652,0.41605276,0.81827235,-0.6656785,0.5468005028451889,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-84.22698427009466,10.843698541899363]}"
00000000000000000445_0,0.1032,0.02295,0.03375,0.0246,0.2137,0.34869042,0.79353756,-0.7272176,0.3841934140459723,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-84.80783493280634,10.852951189325793]}"
00000000000000000446_0,0.203,0.0299,0.0465,0.0475,0.2022,-0.0019743303,0.61954343,-0.6260555,0.3095238038449051,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-82.84807030897119,8.630519176414097]}"
00000000000000000447_0,0.1609,0.08225,0.0848,0.06645,0.2167,0.14777544,0.5306375,-0.4374793,0.28778012313536416,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-84.80765526974952,10.915473933100511]}"
00000000000000000448_0,0.2805,0.0922,0.0988,0.1536,0.2088,-0.14653586,0.15231787,-0.35760728,0.09601112299790486,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-82.94005779406503,8.645161715545244]}"
00000000000000000449_0,0.1723,0.0446,0.05745,0.0333,0.3383,0.32510772,0.82077503,-0.7096652,0.5248967273738971,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-83.54875623058442,8.648665145153311]}"
0000000000000000044a_0,0.428,0.3204,0.3388,0.3396,0.4684,0.04506916,0.15940595,-0.16055499,0.14770642762044608,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-85.09188222564494,10.90253819300919]}"
0000000000000000044b_0,0.2322,0.0275,0.04565,0.048,0.2182,-0.031083478,0.6393689,-0.65397006,0.33320281527705087,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-84.96414179224314,10.212272728691751]}"
0000000000000000044c_0,0.149,0.0337,0.0574,0.0335,0.3034,0.3412909,0.8011279,-0.6818182,0.48374956192563023,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-83.01973835976644,9.9172659893869]}"
0000000000000000044d_0,0.1484,0.0221,0.033,0.0216,0.2779,0.3037767,0.8557596,-0.7877131,0.4808630512014236,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-83.32112313758853,9.808480008480025]}"
0000000000000000044e_0,0.3084,0.06505,0.0968,0.133,0.2694,-0.06749741,0.3389662,-0.47132716,0.22672872170246955,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-85.05334449995621,10.340462319735606]}"
0000000000000000044f_0,0.14025,0.01985,0.0392,0.0208,0.2733,0.3217265,0.8585515,-0.74912,0.4769550331068466,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-85.41752151613827,9.852856783515529]}"
00000000000000000450_0,0.1481,0.0318,0.04405,0.0279,0.2117,0.17676488,0.76711184,-0.655523,0.37276907761264,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-83.74198384819853,10.490750466768802]}"
