B11,B2,B3,B4,B8,NDMI,NDVI,NDWI,SAVI,pineapple,latitude,longitude
0.1895,0.01845,0.04725,0.02115,0.38355,0.33862662,0.8954781,-0.78064066,0.6008621516817497,0,9.079856481530681,-83.20335400384046
0.258,0.0582,0.0963,0.0851,0.3116,0.094101146,0.5709604,-0.5278255,0.3788892547846549,0,9.527127661493791,-84.34259744716084
0.3287,0.06175,0.0873,0.1186,0.2698,-0.09841269,0.38928938,-0.5110613,0.2552904132540292,0,10.264644509755918,-85.11074684661145
0.2568,0.0481,0.09345,0.04225,0.539,0.3546117,0.8546237,-0.70448256,0.6891329291449252,0,10.499464125024762,-84.62592608777214
0.11035,0.0137,0.0397,0.01725,0.35565,0.52639484,0.9074819,-0.7991653,0.5815099186557542,0,9.059464724581169,-82.95002909371875
0.2508,0.0661,0.0861,0.0747,0.3458,0.15923566,0.6447087,-0.6012966,0.4417707953755732,0,9.348003593840359,-83.49189287309966
0.1473,0.0153,0.0302,0.02,0.289,0.32477653,0.87055016,-0.81077695,0.4987639127677002,0,9.6917888530729,-84.0041122481046
0.2011,0.02725,0.05345,0.03755,0.2572,0.12240889,0.7452078,-0.65588284,0.4145643353977355,0,10.405680009362683,-85.78592061415567
0.433,0.6279,0.6094,0.5838,0.6314,0.18639609,0.03917048,-0.017730508,0.0416277732344912,0,9.85330594115759,-83.22949497860834
0.2561,0.0322,0.0611,0.054,0.2553,-0.0015643598,0.6508244,-0.61378,0.3731001864988158,0,9.245415988393908,-83.32552488248072
0.1951,0.0924,0.10135,0.0882,0.2841,0.18572621,0.52618855,-0.47412115,0.3368680386440083,0,9.876392643959461,-83.36514058651039
0.2636,0.03525,0.0651,0.0346,0.41,0.21733968,0.84435445,-0.72595245,0.5961253388003842,0,10.609777241914639,-84.58092049203775
0.2393,0.0654,0.0671,0.0584,0.375,0.22090185,0.730503,-0.69644874,0.5087850838163376,0,9.222329285592037,-83.67613733787258
0.2198,0.03745,0.05855,0.05945,0.2102,-0.02232558,0.559058,-0.5642791,0.2938023715121162,0,10.309021284791422,-85.0292696503418
0.1395,0.032,0.0575,0.0285,0.3602,0.44166496,0.8533573,-0.72468275,0.5598627079809597,0,9.18280341309078,-83.74207367972694
0.24465,0.0487,0.0888,0.0514,0.4118,0.25462714,0.7780656,-0.6452257,0.5612541534840495,0,10.46721460632487,-83.82426952822388
0.3878,0.508,0.4872,0.466,0.5356,0.16006064,0.06948883,-0.047321092,0.0695258550925581,0,10.788631814982836,-85.25645358569564
0.3633,0.36745,0.36235,0.3333,0.5734,0.22429809,0.26480648,-0.22554104,0.2560247638716282,0,10.563693667839306,-83.95425574983598
0.15845,0.07785,0.07805,0.04805,0.30565,0.317173,0.7283008,-0.5931717,0.4526180076580134,0,10.551296916918458,-84.11173041914212
0.2158,0.0354,0.0633,0.0492,0.3216,0.19687381,0.73462784,-0.6710834,0.4692236943250908,0,9.205530789779003,-83.63185039436547
0.38815,0.4265,0.41835,0.39385,0.5561,0.17786603,0.17079848,-0.14136179,0.1678506270080135,0,10.06962026157357,-83.96719148992729
0.14075,0.0216,0.04575,0.01975,0.33855,0.41268516,0.88975716,-0.7619048,0.5571478497424149,0,8.75448668562259,-83.46206880566689
0.2504,0.1976,0.2064,0.2048,0.3692,0.19173658,0.28641114,-0.28283527,0.2296089365011981,0,11.031715930865577,-85.35347163638053
0.1599,0.0223,0.0484,0.0257,0.2717,0.25903615,0.8271688,-0.6975945,0.4627539455877106,0,9.741645351341532,-83.68368318625917
0.33215,0.2753,0.27995,0.25165,0.47985,0.18189652,0.3119617,-0.26309556,0.2779537011544111,0,10.730510816100303,-83.78654028629086
0.1811,0.03715,0.0546,0.03885,0.2745,0.20500442,0.7520345,-0.66818595,0.4345915246378862,0,10.712544510417912,-85.18764263493208
0.1774,0.04315,0.0617,0.05675,0.2354,0.14050391,0.611501,-0.58465165,0.3382882131543044,0,10.859598722428277,-84.92659221336694
0.1879,0.0273,0.0489,0.0335,0.2764,0.1906095,0.7838012,-0.6993544,0.4498703521702422,0,10.198797999429956,-85.70570105928381
0.1204,0.012,0.031,0.0153,0.2712,0.38508683,0.8931937,-0.79483783,0.4880483166977413,0,8.916542762877752,-82.86172470128982
0.34915,0.20405,0.23515,0.2167,0.5006,0.17822887,0.39578974,-0.36078832,0.3498315720735073,0,10.525335605207403,-84.1174796369605
0.1992,0.04495,0.0719,0.03405,0.4344,0.3712121,0.85462695,-0.7159787,0.6200887968889354,0,10.718024233651041,-84.11649149014796
0.1636,0.0199,0.0372,0.0201,0.2677,0.2413633,0.8603197,-0.75598556,0.4714394358117255,0,9.800305339394537,-83.51282361921965
0.1473,0.0274,0.05355,0.0262,0.36665,0.42679247,0.8666158,-0.74512136,0.5719605599627321,0,8.757451126060186,-83.37367458170952
0.1714,0.0263,0.0515,0.03265,0.2785,0.23805289,0.79013336,-0.6878788,0.4546322969201936,0,8.82482477236915,-83.35436080310096
0.2248,0.20935,0.21765,0.19585,0.362,0.23381047,0.2978399,-0.24902958,0.2355957705747132,0,9.967122487655534,-83.82840177853083
0.36595,0.0738,0.0999,0.1492,0.2481,-0.19192247,0.24893025,-0.42586207,0.1653293042019646,0,10.589205821908301,-85.49881904935108
0.22075,0.05475,0.0811,0.1094,0.1974,-0.055841204,0.28683183,-0.41759425,0.1636093336640475,0,10.001617794565723,-85.18386971073878
0.1889,0.0225,0.0428,0.0279,0.2792,0.1929075,0.81830025,-0.7341615,0.4670424840448435,0,9.90855233113094,-85.01741188859143
0.1379,0.01815,0.03775,0.01705,0.3059,0.37854892,0.8944109,-0.7802997,0.5264900753086473,0,8.822219658045203,-83.27692602560985
0.4508,0.5274,0.536,0.525,0.6462,0.17812215,0.10348363,-0.093216024,0.1087841312118235,0,10.81234733848359,-85.00160153959092
0.21365,0.1286,0.1397,0.1195,0.37435,0.27329934,0.5160474,-0.45647314,0.3846405590607973,0,9.7940171324057,-83.11666657892293
0.1759,0.0844,0.1108,0.1198,0.1652,-0.03136911,0.15929823,-0.19710144,0.0867515806335624,0,8.998469116789453,-83.1915860736185
0.034,0.07015,0.07535,0.04695,0.03775,0.052264757,-0.10861869,0.3324492,-0.0236018548110187,0,10.52973735009959,-84.9555179655156
0.1625,0.0215,0.0445,0.0245,0.3232,0.33086267,0.85907394,-0.75795484,0.528547822426171,0,9.13088078966867,-83.34474882956087
0.1681,0.0502,0.0669,0.043,0.3454,0.34527752,0.77857876,-0.675479,0.5105808223591687,0,10.713442825702032,-83.58648547251744
0.14715,0.02675,0.05275,0.02465,0.3369,0.39200497,0.86364263,-0.7292442,0.5436422679053763,0,10.238323871931216,-84.69707265827441
