B11,B2,B3,B4,B8,NDMI,NDVI,NDWI,SAVI,pineapple,latitude,longitude,year
0.2048,0.0345,0.0624,0.0396,0.3142,0.21079001,0.77614474,-0.6686139,0.4824314998186048,0,8.82482477236915,-83.35436080310096,2018
0.2952,0.0534,0.0785,0.10605,0.2314,-0.12115456,0.37146243,-0.49338496,0.2245208648107649,0,10.5892058219083,-85.49881904935108,2018
0.1667,0.0598,0.07395,0.1008,0.1156,-0.18101314,0.06839185,-0.21973093,0.0309882689755285,0,10.001617794565725,-85.18386971073878,2018
0.16505,0.02135,0.044,0.02035,0.3155,0.31307876,0.87881494,-0.7552156,0.5296703854328628,0,9.90855233113094,-85.01741188859143,2018
0.1342,0.0194,0.0376,0.019,0.2674,0.33167326,0.86731845,-0.75344265,0.4738046765434847,0,8.822219658045203,-83.27692602560985,2018
0.19265,0.1141,0.12695,0.09775,0.3406,0.2774496,0.5540094,-0.4569565,0.3882080396761692,0,10.81234733848359,-85.00160153959092,2018
0.1623,0.07845,0.10935,0.114,0.17,0.023171822,0.1971831,-0.21711114,0.1071428601974865,0,8.998469116789453,-83.1915860736185,2018
0.01955,0.0489,0.04815,0.0255,0.0237,0.095953785,-0.036585342,0.34029225,-0.0049162385400647,0,10.52973735009959,-84.9555179655156,2018
0.1662,0.0201,0.045,0.023,0.3484,0.35406142,0.8761443,-0.7712252,0.5601331155157142,0,9.13088078966867,-83.34474882956087,2018
0.0478,0.0214,0.0246,0.0173,0.1058,0.37760416,0.7189277,-0.6226994,0.2130476695731015,0,10.713442825702032,-83.58648547251744,2018
0.1509,0.04405,0.0544,0.06695,0.0883,-0.26170573,0.1375201,-0.2375613,0.0488744671370892,0,10.35079294550298,-85.23713980708706,2018
0.1162,0.0381,0.056,0.0317,0.2322,0.33295062,0.75975746,-0.611381,0.3937033591360689,0,10.332018156064882,-83.51767452175389,2018
0.1542,0.0208,0.0486,0.0244,0.331,0.3643858,0.8626899,-0.743941,0.5376432092458762,0,9.438553774479606,-83.6162197084218,2018
0.4163,0.5384,0.5456,0.5096,0.6568,0.22411703,0.12620027,-0.09248169,0.1325011932375195,0,10.66457447424593,-83.59978053872241,2018
0.2053,0.0306,0.0541,0.0346,0.2934,0.17665929,0.78902435,-0.6886331,0.4688405647945081,0,10.87720570199702,-85.52019895311312,2018
0.2105,0.0296,0.0636,0.0339,0.424,0.33648542,0.8519327,-0.73913044,0.610867517717063,0,10.20077429305502,-83.43601766242742,2018
0.2759,0.0564,0.0845,0.1097,0.2345,-0.081112854,0.3625799,-0.47021943,0.2217484060748549,0,10.196821705804894,-85.44887271955403,2018
0.20945,0.0283,0.0527,0.0525,0.2525,0.093191884,0.6557377,-0.65465266,0.3726708079276825,0,10.108068155733886,-85.16105250252214,2018
0.2095,0.1242,0.1334,0.12,0.3132,0.19839296,0.44598338,-0.40259743,0.3105443647946077,0,9.712809430721297,-83.27396158517226,2018
0.2236,0.0576,0.0885,0.0664,0.4112,0.29552615,0.721943,-0.6457875,0.5290507256736806,0,11.093520022413,-85.61065930222397,2018
0.2587,0.03665,0.0656,0.0548,0.281,0.041319206,0.6736152,-0.6214656,0.4059583478575308,0,10.273627662597113,-85.1186520211117,2018
0.1634,0.0234,0.0478,0.0304,0.237,0.18381621,0.77262527,-0.66432583,0.4038311217274278,0,9.563958588142691,-84.43736970963545,2018
0.7562,1.028,1.0096,0.9912,0.9792,0.12850063,-0.006090116,0.015285618,-0.0072862480762518,0,9.32590503785102,-83.53114925101568,2018
0.3397,0.2042,0.2036,0.1544,0.4948,0.18585978,0.52433765,-0.41695303,0.4443090758068303,0,10.762939997857016,-85.24315851949066,2018
0.1058,0.009,0.0289,0.0137,0.3377,0.52288616,0.92202616,-0.842335,0.570824534487293,0,9.712270441550825,-83.9626999135067,2018
0.24805,0.0336,0.05565,0.06205,0.2158,-0.06952679,0.5533561,-0.58997977,0.2964903297144114,0,10.435234582210215,-85.59116586055856,2018
0.1864,0.1428,0.2458,0.3074,0.3002,0.23386765,-0.011849906,-0.09963367,-0.0097508164157524,0,11.012761478370656,-85.406562069672,2018
0.3181,0.40965,0.4024,0.39245,0.4837,0.2065353,0.104148835,-0.09175039,0.0994622696516445,0,10.842530732030006,-85.01615424719365,2018
0.18915,0.02885,0.05175,0.0431,0.2953,0.21911445,0.74527186,-0.7017721,0.4512166129746172,0,10.629270683580032,-85.19096640148332,2018
0.26315,0.2198,0.2359,0.20705,0.39225,0.19697893,0.3090272,-0.24890552,0.2527062761663266,0,9.919511777597195,-83.53267638699869,2018
0.1514,0.0217,0.0301,0.0171,0.1997,0.13756764,0.84225094,-0.73803306,0.3821149501052894,0,9.533326036954216,-84.18278715811599,2018
0.2196,0.0566,0.0749,0.0824,0.2774,0.11629775,0.54196775,-0.5747942,0.3401953733245693,0,10.89975341562842,-85.33236122720373,2018
0.2688,0.0514,0.0896,0.0756,0.3334,0.10727336,0.63031787,-0.57635933,0.4254125580690376,0,9.146152149498702,-83.61145863741596,2018
0.26335,0.0299,0.0664,0.0454,0.3056,0.074259564,0.74131054,-0.64301074,0.4586368799279385,0,10.257098661369314,-85.52280406743706,2018
0.31825,0.2831,0.28175,0.2546,0.4707,0.19323151,0.2979457,-0.25111303,0.2645474701043397,0,10.803454017170807,-85.0811024422355,2018
0.2416,0.0664,0.0982,0.1144,0.2608,0.038216554,0.3901919,-0.4529248,0.2509140837391453,0,9.55928734866527,-84.53115382529754,2018
0.207,0.278,0.228,0.1736,0.4108,0.32988024,0.40588638,-0.28616157,0.3281077148370148,0,8.776046252441459,-83.54498330639112,2018
0.2677,0.0785,0.1122,0.0907,0.4296,0.2321813,0.65135497,-0.585825,0.4982358123434542,0,9.32231177671454,-83.91562819261884,2018
0.1693,0.0404,0.0607,0.0456,0.2498,0.19207825,0.69126606,-0.6090177,0.3850892566959716,0,8.791587106856728,-83.31968583313395,2018
0.0375,0.0105,0.019,0.0141,0.064,0.26108375,0.6389245,-0.5421687,0.1294758756942098,0,9.427953654126997,-83.79255899869446,2018
0.02685,0.00735,0.01285,0.00595,0.0855,0.5220294,0.86987424,-0.73868835,0.2017499403887419,0,8.677770560358784,-83.16050436478797,2018
0.4335,0.6456,0.625,0.5974,0.617,0.17467873,0.016139636,0.006441237,0.0171488341962111,0,10.530366170798471,-84.68332843442738,2018
0.1222,0.0219,0.0329,0.0189,0.2952,0.41447052,0.87965614,-0.79945135,0.5090897816571682,0,10.772462139868685,-85.36317344144904,2018
0.19225,0.03355,0.0576,0.02985,0.3901,0.33974415,0.85784024,-0.74268484,0.5873960552340504,0,10.82016268145543,-84.99585232177256,2018
0.2467,0.0365,0.0858,0.0523,0.442,0.28357774,0.7883876,-0.67487687,0.5879010401641445,0,10.262308890017207,-83.37124913044241,2018
0.11395,0.0602,0.0613,0.0472,0.15885,0.16458945,0.54185873,-0.44310698,0.2371999094132653,0,8.386896071360882,-83.1179242203207,2018
0.1394,0.0336,0.0477,0.0221,0.3052,0.37291947,0.8649557,-0.7296685,0.5132962782303788,0,8.54877248555922,-83.5613326445621,2018
